County,Cases,Deaths
Fulton,2542,92
Dekalb,1798,36
Gwinnett,1495,46
Dougherty,1469,108
Cobb,1411,75
Hall,1033,11
Clayton,641,21
Henry,450,10
Cherokee,374,10
Richmond,356,14
Sumter,355,21
Carroll,325,11
Lee,300,18
Mitchell,290,26
Bartow,285,28
Douglas,276,8
Muscogee,273,4
Forsyth,252,8
Bibb,248,6
Houston,209,13
Chatham,205,6
Upson,197,14
Early,196,15
Spalding,189,8
Coweta,188,4
Baldwin,181,6
Habersham,171,3
Newton,167,6
Colquitt,165,6
Terrell,165,17
Fayette,161,8
Rockdale,161,6
Paulding,160,7
Thomas,158,16
Crisp,153,2
Randolph,153,19
Worth,140,9
Columbia,138,2
Floyd,133,10
Lowndes,131,4
Butts,125,3
Clarke,123,13
Troup,122,4
Dooly,112,7
Barrow,108,3
Ware,105,8
Coffee,103,4
Tift,102,3
Walton,97,3
Calhoun,86,3
Gordon,81,10
Jackson,73,1
Burke,71,3
Macon,70,3
Stephens,70,1
Wilcox,68,6
Whitfield,63,4
Turner,62,6
Decatur,60,1
Walker,59,0
Appling,56,4
Harris,55,2
Greene,53,1
Oconee,53,0
Laurens,52,1
Pierce,52,2
Dawson,51,1
Glynn,51,1
Meriwether,49,0
Grady,48,3
Bryan,47,2
Oglethorpe,47,3
Catoosa,46,0
Gilmer,46,0
Polk,46,0
Mcduffie,43,4
Brooks,39,6
Pike,39,2
Marion,38,1
White,38,0
Peach,37,2
Johnson,36,2
Liberty,35,0
Bulloch,34,2
Effingham,34,1
Washington,34,1
Lamar,33,0
Putnam,31,3
Wilkinson,31,2
Lumpkin,29,0
Miller,29,0
Union,29,2
Camden,28,1
Seminole,27,2
Toombs,27,3
Haralson,26,1
Jones,26,0
Telfair,26,0
Murray,24,0
Ben Hill,23,0
Dodge,23,0
Morgan,23,0
Wilkes,23,0
Madison,22,1
Bacon,21,1
Brantley,21,2
Fannin,21,0
Pickens,21,2
Talbot,21,1
Clay,20,2
Jasper,20,0
Pulaski,20,1
Towns,20,0
Baker,19,2
Elbert,19,0
Emanuel,19,0
Monroe,19,1
Banks,18,0
Hancock,18,0
Franklin,17,0
Stewart,17,0
Berrien,16,0
Cook,16,1
Dade,16,1
Jenkins,16,1
Schley,16,1
Taylor,16,2
Irwin,15,1
Crawford,14,0
Screven,14,1
Chattooga,13,1
Jefferson,13,1
Warren,12,0
Jeff Davis,11,1
Wayne,11,0
Lincoln,10,0
Bleckley,9,0
Heard,9,1
Rabun,9,0
Candler,8,0
Chattahoochee,8,0
Lanier,8,1
Webster,8,1
Atkinson,7,0
Charlton,7,0
Clinch,7,0
Tattnall,7,0
Twiggs,7,0
Hart,6,0
Echols,5,0
Evans,4,0
Mcintosh,4,0
Long,3,0
Quitman,3,1
Wheeler,3,0
Montgomery,2,0
Treutlen,2,0
Unknown,620,0
Non-Georgia Resident,1022,9
