County,Cases,Deaths
Fulton,1598,52
Dougherty,1217,77
Dekalb,980,14
Cobb,782,35
Gwinnett,739,22
Clayton,391,12
Hall,292,0
Henry,280,4
Lee,253,15
Sumter,245,9
Bartow,216,16
Carroll,214,5
Cherokee,198,7
Douglas,167,5
Muscogee,161,4
Chatham,152,5
Mitchell,147,15
Richmond,147,4
Forsyth,138,5
Houston,129,8
Early,126,6
Coweta,119,2
Randolph,117,6
Terrell,114,10
Floyd,111,6
Fayette,105,5
Rockdale,100,3
Newton,91,3
Paulding,91,2
Worth,91,4
Colquitt,88,5
Clarke,85,11
Thomas,78,3
Spalding,75,4
Bibb,72,1
Crisp,71,1
Columbia,70,0
Lowndes,65,2
Tift,62,2
Troup,61,3
Upson,61,2
Coffee,60,3
Ware,56,4
Barrow,55,3
Baldwin,53,2
Dooly,50,2
Calhoun,48,2
Pierce,45,2
Walton,44,2
Gordon,39,3
Oconee,39,0
Glynn,38,0
Turner,37,0
Decatur,36,0
Laurens,35,1
Bryan,31,2
Butts,30,0
Dawson,29,2
Greene,29,1
Burke,28,2
Jackson,27,1
Whitfield,26,3
Macon,25,0
Mcduffie,25,2
Peach,24,2
Polk,24,0
Wilcox,24,0
Meriwether,23,0
Washington,23,0
Camden,22,0
Effingham,22,1
Harris,22,1
Brooks,19,1
Bulloch,19,1
Johnson,19,1
Stephens,19,0
Lamar,18,0
Liberty,18,0
Pike,18,0
Baker,16,2
Clay,16,1
Haralson,16,0
Grady,15,0
Habersham,15,1
Murray,15,0
Seminole,15,1
Bacon,14,0
Dodge,14,0
Morgan,14,0
Catoosa,13,0
Oglethorpe,13,1
Irwin,12,0
Jones,12,0
Miller,12,0
Monroe,12,1
Schley,12,1
Toombs,12,1
Appling,11,0
Brantley,11,1
Pickens,11,2
White,11,0
Wilkinson,11,1
Jenkins,10,1
Madison,10,1
Marion,10,0
Pulaski,10,1
Emanuel,9,0
Fannin,9,0
Lincoln,9,0
Lumpkin,9,0
Talbot,9,1
Telfair,9,0
Ben Hill,8,0
Jasper,8,0
Stewart,8,0
Taylor,8,2
Banks,7,0
Chattooga,7,1
Cook,7,0
Gilmer,7,0
Jefferson,7,1
Putnam,7,0
Screven,7,0
Union,7,1
Warren,7,0
Berrien,6,0
Clinch,6,0
Rabun,6,0
Walker,6,0
Wilkes,6,0
Lanier,5,0
Tattnall,5,0
Candler,4,0
Franklin,4,0
Hart,4,0
Heard,4,1
Wayne,4,0
Bleckley,3,0
Charlton,3,0
Chattahoochee,3,0
Crawford,3,0
Elbert,3,0
Hancock,3,0
Mcintosh,3,0
Quitman,3,0
Towns,3,0
Webster,3,0
Atkinson,2,0
Dade,2,1
Echols,2,0
Montgomery,2,0
Twiggs,2,0
Wheeler,2,0
Evans,1,0
Jeff Davis,1,0
Long,1,0
Treutlen,1,0
Unknown,663,0
Non-Georgia Resident,556,1
